6307 BIO10 2
27254 14 MED18
27255 61 INF01
27256 27 IINF04
27257 29 IINF05
27258 21 FIS01
27259 47 AGR03
27260 53 CHIM02
27261 76 IINF04
27262 88 MAT01
27263 39 INF01
27264 75 MED18
27265 35 IINF04
27266 83 IINF04
27267 80 IINF05
27268 24 BIO10
27269 68 IINF04
27270 15 MAT01
27271 19 IINF05
27272 25 IINF05
27273 31 INF01
27274 92 IINF05
27275 69 MED18
27276 85 AGR03
27277 98 IINF05
27278 61 BIO10
27279 22 IINF04
27280 38 MED18
27281 77 CHIM02
27282 93 FIS01
27283 37 INF01
27284 80 MED18
27285 6 MAT01
27286 52 MED18
27287 61 FIS01
27288 56 INGIND35
27289 58 MAT01
27290 88 AGR03
27291 17 MED18
27292 81 MED18
27293 76 CHIM02
27294 90 MAT01
27295 66 CHIM02
27296 82 INGIND35
27297 66 MED18
27298 6 INF01
27299 39 FIS01
27300 33 FIS01
27301 57 IINF04
27302 36 MAT01
27303 93 IINF05
27304 40 INGIND35
27305 50 INF01
27306 11 CHIM02
27307 8 INGIND35
27308 79 MAT01
27309 65 IINF04
27310 100 AGR03
27311 28 IINF04
27312 97 INF01
27313 91 MAT01
27314 87 INF01
27315 34 INF01
27316 27 MAT01
27317 7 IINF05
27318 37 MAT01
27319 37 INGIND35
27320 99 BIO10
27321 37 INF01
27322 28 IINF05
27323 97 INGIND35
27324 85 INGIND35
27325 4 CHIM02
27326 63 INGIND35
27327 76 IINF05
27328 68 INGIND35
27329 23 MED18
27330 99 AGR03
27331 56 IINF04
27332 63 CHIM02
27333 33 FIS01
27334 24 IINF04
27335 73 INF01
27336 99 AGR03
27337 59 MAT01
27338 49 IINF04
27339 3 MAT01
27340 39 FIS01
27341 8 INF01
27342 64 FIS01
27343 60 IINF05
27344 81 IINF05
27345 74 IINF04
27346 89 IINF04
27347 46 CHIM02
27348 26 FIS01
27349 2 INGIND35
27350 10 INF01
27351 97 IINF04
27352 42 IINF05
27353 62 BIO10
27354 51 INGIND35
27355 58 MED18
27356 21 BIO10
27357 38 BIO10
27358 93 CHIM02
27359 78 FIS01
27360 21 INF01
27361 42 CHIM02
27362 36 IINF05
27363 71 AGR03
27364 13 IINF05
27365 56 IINF05
27366 33 CHIM02
27367 58 MAT01
27368 92 IINF04
27369 12 MED18
27370 25 MAT01
27371 98 MED18
27372 90 MAT01
27373 42 INF01
27374 37 FIS01
27375 95 MED18
27376 27 BIO10
27377 55 IINF04
27378 20 INGIND35
27379 34 FIS01
27380 85 CHIM02
27381 55 BIO10
27382 5 INF01
27383 40 INGIND35
27384 74 MAT01
27385 47 AGR03
27386 77 BIO10
27387 29 CHIM02
27388 13 MAT01
27389 84 AGR03
27390 63 AGR03
27391 23 CHIM02
27392 69 BIO10
27393 49 IINF05
27394 9 FIS01
27395 16 CHIM02
27396 85 AGR03
27397 26 CHIM02
27398 29 IINF04
27399 71 MAT01
27400 32 BIO10
27401 90 IINF05
27402 77 AGR03
27403 23 IINF04
27404 68 IINF04
27405 36 MAT01
27406 72 CHIM02
27407 65 IINF04
27408 50 BIO10
27409 3 FIS01
27410 80 AGR03
27411 69 IINF05
27412 91 INGIND35
27413 99 IINF05
27414 53 MAT01
27415 6 FIS01
27416 78 CHIM02
27417 98 BIO10
27418 34 IINF05
27419 42 BIO10
27420 93 IINF04
27421 28 AGR03
27422 59 BIO10
27423 39 IINF05
27424 90 CHIM02
27425 59 IINF05
27426 48 INGIND35
27427 62 INF01
27428 76 IINF05
27429 76 INF01
27430 87 IINF04
27431 26 IINF05
27432 30 IINF04
27433 8 CHIM02
27434 25 INGIND35
27435 89 INGIND35
27436 23 IINF04
27437 90 BIO10
27438 88 MAT01
27439 36 MAT01
27440 89 AGR03
27441 23 BIO10
27442 7 IINF05
27443 27 CHIM02
27444 3 BIO10
27445 50 INGIND35
27446 22 BIO10
27447 98 FIS01
27448 76 IINF04
27449 2 MED18
27450 32 MAT01
27451 99 FIS01
27452 61 INF01
27453 66 FIS01
27454 65 IINF04
27455 65 INGIND35
27456 78 MED18
27457 59 FIS01
27458 71 MAT01
27459 94 FIS01
27460 90 MAT01
27461 84 IINF04
27462 53 IINF04
27463 87 MAT01
27464 45 MAT01
27465 17 FIS01
27466 31 BIO10
27467 87 IINF04
27468 21 BIO10
27469 9 BIO10
27470 51 CHIM02
27471 12 MAT01
27472 48 INF01
27473 72 BIO10
27474 81 FIS01
27475 90 BIO10
27476 50 INGIND35
27477 99 INF01
27478 49 IINF05
27479 66 MAT01
27480 14 CHIM02
27481 19 MED18
27482 11 CHIM02
27483 16 INGIND35
27484 46 AGR03
27485 54 FIS01
27486 1 MED18
27487 80 IINF04
27488 15 MAT01
27489 86 INGIND35
27490 28 INGIND35
27491 98 MAT01
27492 80 MAT01
27493 17 IINF04
27494 25 CHIM02
27495 83 INGIND35
27496 76 FIS01
27497 72 MAT01
27498 84 INF01
27499 27 MED18
27500 54 BIO10
27501 76 IINF04
27502 17 INGIND35
27503 20 AGR03
27504 2 CHIM02
27505 12 INF01
27506 99 IINF04
27507 57 IINF05
27508 33 IINF05
27509 29 AGR03
27510 35 IINF05
27511 84 INGIND35
27512 58 INF01
27513 15 MAT01
27514 57 BIO10
27515 28 CHIM02
27516 94 AGR03
27517 41 INF01
27518 1 FIS01
27519 95 IINF05
27520 77 MED18
27521 15 AGR03
27522 70 FIS01
27523 54 INF01
27524 97 MED18
27525 28 FIS01
27526 30 MAT01
27527 45 MAT01
27528 76 BIO10
27529 48 INF01
27530 13 CHIM02
27531 32 FIS01
27532 87 BIO10
27533 96 AGR03
27534 37 FIS01
27535 95 AGR03
27536 97 MED18
27537 59 INF01
27538 72 BIO10
27539 6 INF01
27540 57 INF01
27541 87 INF01
27542 79 MED18
27543 78 CHIM02
27544 15 MAT01
27545 99 IINF05
27546 42 MED18
27547 6 CHIM02
27548 80 BIO10
27549 32 IINF05
27550 62 MAT01
27551 93 IINF05
27552 69 INF01
27553 61 IINF04
27554 36 IINF04
27555 22 AGR03
27556 22 IINF05
27557 11 IINF04
27558 66 CHIM02
27559 89 MAT01
27560 54 CHIM02
27561 35 BIO10
27562 47 IINF04
27563 31 INGIND35
27564 100 IINF05
27565 49 CHIM02
27566 24 IINF04
27567 83 BIO10
27568 48 FIS01
27569 42 MED18
27570 13 IINF04
27571 66 AGR03
27572 88 FIS01
27573 19 AGR03
27574 76 BIO10
27575 65 IINF05
27576 95 MAT01
27577 15 IINF05
27578 46 MAT01
27579 57 MAT01
27580 4 FIS01
27581 18 INF01
27582 26 FIS01
27583 1 AGR03
27584 3 INF01
27585 88 INF01
27586 91 IINF05
27587 80 INGIND35
27588 60 CHIM02
27589 39 INF01
27590 12 INGIND35
27591 77 BIO10
27592 28 AGR03
27593 63 BIO10
27594 69 INGIND35
27595 20 FIS01
27596 45 INF01
27597 77 MED18
27598 80 MAT01
27599 41 CHIM02
27600 19 CHIM02
27601 19 FIS01
27602 87 IINF05
27603 68 IINF04
27604 56 INF01
27605 63 INF01
27606 77 INGIND35
27607 52 INGIND35
27608 25 IINF04
27609 42 CHIM02
27610 41 FIS01
27611 66 IINF04
27612 31 IINF05
27613 76 FIS01
27614 64 MAT01
27615 35 INGIND35
27616 60 CHIM02
27617 84 MAT01
27618 65 INGIND35
27619 86 MED18
27620 65 AGR03
27621 57 MED18
27622 40 MED18
27623 88 MAT01
27624 1 MAT01
27625 46 MED18
27626 42 INGIND35
27627 83 INF01
27628 84 CHIM02
27629 47 MAT01
27630 79 INF01
27631 4 IINF05
27632 96 CHIM02
27633 57 MAT01
27634 99 MED18
27635 59 AGR03
27636 24 MAT01
27637 33 FIS01
27638 31 IINF04
27639 28 CHIM02
27640 6 INGIND35
27641 9 IINF05
27642 54 INF01
27643 20 IINF05
27644 47 MED18
27645 98 IINF04
27646 60 IINF04
27647 64 INF01
27648 45 AGR03
27649 79 AGR03
27650 44 INGIND35
27651 45 IINF05
27652 88 BIO10
27653 69 MED18
27654 16 MAT01
27655 35 MED18
27656 4 AGR03
27657 86 INF01
27658 32 MAT01
27659 6 FIS01
27660 35 INGIND35
27661 1 MED18
27662 62 IINF04
27663 74 IINF04
27664 7 MED18
27665 9 INGIND35
27666 87 CHIM02
27667 75 CHIM02
27668 94 INF01
27669 89 INGIND35
27670 81 FIS01
27671 70 IINF05
27672 41 IINF05
27673 1 INF01
27674 57 CHIM02
27675 76 MAT01
27676 60 MED18
27677 58 MED18
27678 8 IINF04
27679 3 CHIM02
27680 67 BIO10
27681 95 FIS01
27682 24 AGR03
27683 32 AGR03
27684 34 AGR03
27685 56 IINF05
27686 4 FIS01
27687 84 INGIND35
27688 50 INGIND35
27689 55 INF01
27690 70 FIS01
27691 38 INF01
27692 15 INF01
27693 81 INGIND35
27694 53 INF01
27695 12 FIS01
27696 14 MAT01
27697 93 IINF04
27698 5 INGIND35
27699 13 BIO10
27700 35 IINF05
27701 24 AGR03
27702 12 IINF05
27703 66 INGIND35
27704 39 INF01
27705 63 IINF05
27706 26 AGR03
27707 77 AGR03
27708 85 IINF04
27709 34 CHIM02
27710 54 CHIM02
27711 72 BIO10
27712 26 BIO10
27713 38 AGR03
27714 91 MED18
27715 73 MAT01
27716 25 CHIM02
27717 30 INF01
27718 64 IINF04
27719 1 AGR03
27720 39 FIS01
27721 72 AGR03
27722 75 INGIND35
27723 6 MED18
27724 40 MED18
27725 19 BIO10
27726 1 MAT01
27727 42 AGR03
27728 21 AGR03
27729 61 AGR03
27730 90 IINF04
27731 60 BIO10
27732 7 INGIND35
27733 13 INGIND35
27734 38 FIS01
27735 75 IINF05
27736 66 MED18
27737 91 INF01
27738 91 IINF04
27739 6 MAT01
27740 59 MED18
27741 24 IINF05
27742 77 AGR03
27743 10 BIO10
27744 93 IINF05
27745 80 BIO10
27746 57 MAT01
27747 10 AGR03
27748 63 INGIND35
27749 91 FIS01
27750 11 BIO10
27751 22 MAT01
27752 51 MAT01
27753 4 AGR03
27754 66 CHIM02
27755 1 FIS01
27756 27 INGIND35
27757 23 INGIND35
27758 3 INF01
27759 73 IINF04
27760 38 MED18
27761 34 CHIM02
27762 84 MAT01
27763 33 MED18
27764 66 CHIM02
27765 54 INF01
27766 28 FIS01
27767 38 MED18
27768 1 IINF05
27769 78 AGR03
27770 10 IINF04
27771 55 MAT01
27772 91 INF01
27773 87 MAT01
27774 40 IINF05
27775 87 AGR03
27776 88 BIO10
27777 98 FIS01
27778 65 AGR03
27779 13 CHIM02
27780 78 FIS01
27781 13 BIO10
27782 72 INF01
27783 36 CHIM02
27784 99 IINF05
27785 64 BIO10
27786 67 MED18
27787 3 IINF04
27788 22 IINF05
27789 6 IINF04
27790 16 INF01
27791 15 CHIM02
27792 99 FIS01
27793 81 INF01
27794 98 CHIM02
27795 19 INF01
27796 15 IINF05
27797 16 INGIND35
27798 36 INF01
27799 5 AGR03
27800 72 AGR03
27801 32 IINF05
27802 12 IINF05
27803 94 INF01
27804 67 AGR03
27805 84 FIS01
27806 85 MED18
27807 72 AGR03
27808 37 IINF04
27809 7 IINF04
27810 33 MED18
27811 50 INGIND35
27812 44 IINF04
27813 61 BIO10
27814 22 INF01
27815 24 INGIND35
27816 27 MAT01
27817 30 FIS01
27818 81 CHIM02
27819 5 BIO10
27820 57 BIO10
27821 35 FIS01
27822 5 BIO10
27823 73 IINF05
27824 8 INGIND35
27825 91 CHIM02
27826 50 MAT01
27827 46 INGIND35
27828 38 BIO10
27829 45 MAT01
27830 12 FIS01
27831 32 FIS01
27832 33 INGIND35
27833 50 IINF05
27834 82 INF01
27835 10 INGIND35
27836 60 IINF05
27837 59 INF01
27838 94 BIO10
27839 68 MAT01
27840 79 CHIM02
27841 90 IINF05
27842 98 IINF05
27843 73 MED18
27844 78 INF01
27845 32 BIO10
27846 85 IINF04
27847 95 INF01
27848 97 MAT01
27849 99 INF01
27850 57 IINF05
27851 45 FIS01
27852 41 INGIND35
27853 100 CHIM02
27854 80 BIO10
27855 99 INF01
27856 10 FIS01
27857 63 CHIM02
27858 87 MED18
27859 91 AGR03
27860 8 IINF04
27861 88 CHIM02
27862 23 MAT01
27863 15 IINF05
27864 81 BIO10
27865 40 IINF05
27866 95 AGR03
27867 29 INF01
27868 24 MED18
27869 72 MAT01
27870 19 IINF05
27871 39 FIS01
27872 7 INF01
27873 22 FIS01
27874 53 FIS01
27875 81 IINF05
27876 52 MED18
27877 83 IINF04
27878 76 INGIND35
27879 72 MAT01
27880 38 FIS01
27881 94 MAT01
27882 3 CHIM02
27883 11 CHIM02
27884 70 IINF05
27885 77 IINF05
27886 32 BIO10
27887 76 AGR03
27888 13 AGR03
27889 71 INGIND35
27890 77 BIO10
27891 23 AGR03
27892 42 MAT01
27893 96 IINF04
27894 54 AGR03
27895 36 IINF04
27896 42 CHIM02
27897 47 IINF04
27898 66 MED18
27899 16 CHIM02
27900 49 FIS01
27901 39 BIO10
27902 64 MED18
27903 77 CHIM02
27904 25 AGR03
27905 35 IINF05
27906 79 FIS01
27907 17 INGIND35
27908 77 MED18
27909 63 INF01
27910 64 MED18
27911 43 IINF05
27912 63 AGR03
27913 26 IINF05
27914 63 MAT01
27915 91 INGIND35
27916 24 INF01
27917 11 MAT01
27918 86 BIO10
27919 42 IINF04
27920 64 AGR03
27921 97 INGIND35
27922 47 MED18
27923 5 FIS01
27924 67 MAT01
27925 9 INF01
27926 35 INGIND35
27927 67 INF01
27928 30 MAT01
27929 67 BIO10
27930 53 INGIND35
27931 7 IINF05
27932 84 IINF04
27933 46 CHIM02
27934 10 IINF04
27935 34 MAT01
27936 48 FIS01
27937 2 AGR03
27938 48 CHIM02
27939 51 MED18
27940 46 MAT01
27941 52 MED18
27942 94 MAT01
27943 64 MED18
27944 3 MAT01
27945 25 IINF05
27946 48 IINF05
27947 70 AGR03
27948 73 INF01
27949 22 MAT01
27950 23 BIO10
27951 3 FIS01
27952 97 FIS01
27953 93 IINF05
27954 71 MED18
27955 17 MAT01
27956 56 MAT01
27957 77 CHIM02
27958 85 BIO10
27959 35 MED18
27960 57 CHIM02
27961 54 AGR03
27962 76 MAT01
27963 55 MED18
27964 18 MED18
27965 72 FIS01
27966 53 CHIM02
27967 49 INF01
27968 37 FIS01
27969 21 CHIM02
27970 74 INF01
27971 37 BIO10
27972 27 AGR03
27973 42 CHIM02
27974 76 MED18
27975 3 IINF04
27976 18 FIS01
27977 19 INGIND35
27978 31 MAT01
27979 57 MAT01
27980 4 IINF05
27981 86 BIO10
27982 78 INF01
27983 67 AGR03
27984 2 AGR03
27985 65 MAT01
27986 48 IINF05
27987 5 FIS01
27988 68 INF01
27989 13 INGIND35
27990 21 IINF05
27991 54 INGIND35
27992 84 MAT01
27993 6 FIS01
27994 21 IINF04
27995 59 MED18
27996 30 INGIND35
27997 96 IINF04
27998 21 INF01
27999 22 INF01
28000 2 MAT01
28001 82 INF01
28002 36 IINF04
28003 62 FIS01
28004 44 MED18
28005 26 MED18
28006 50 AGR03
28007 2 FIS01
28008 93 FIS01
28009 80 IINF04
28010 70 IINF04
28011 63 MED18
28012 41 IINF04
28013 58 INF01
28014 58 MAT01
28015 18 BIO10
28016 68 BIO10
28017 98 FIS01
28018 55 MAT01
28019 2 INGIND35
28020 21 IINF04
28021 38 BIO10
28022 32 INF01
28023 83 IINF04
28024 93 AGR03
28025 79 CHIM02
28026 60 BIO10
28027 32 INF01
28028 86 INF01
28029 9 FIS01
28030 17 INGIND35
28031 97 FIS01
28032 80 INGIND35
28033 52 MED18
28034 24 FIS01
28035 10 MED18
28036 81 FIS01
28037 99 BIO10
28038 47 BIO10
28039 11 FIS01
28040 59 MED18
28041 97 BIO10
28042 48 AGR03
28043 61 BIO10
28044 100 IINF05
28045 70 CHIM02
28046 30 MED18
28047 39 FIS01
28048 46 CHIM02
28049 84 IINF04
28050 14 IINF04
28051 85 CHIM02
28052 28 MAT01
28053 77 MED18
28054 16 FIS01
28055 98 AGR03
28056 6 CHIM02
28057 99 CHIM02
28058 32 AGR03
28059 50 FIS01
28060 16 MED18
28061 64 IINF04
28062 5 FIS01
28063 100 IINF05
28064 100 IINF05
28065 59 FIS01
28066 87 INGIND35
28067 76 FIS01
28068 21 CHIM02
28069 2 INGIND35
28070 7 MAT01
28071 89 IINF05
28072 98 AGR03
28073 47 AGR03
28074 24 CHIM02
28075 14 MAT01
28076 67 INGIND35
28077 1 INF01
28078 73 MED18
28079 16 INGIND35
28080 64 INF01
28081 37 AGR03
28082 66 IINF04
28083 36 INGIND35
28084 41 AGR03
28085 10 CHIM02
28086 22 IINF04
28087 50 IINF04
28088 1 IINF05
28089 33 BIO10
28090 48 MAT01
28091 90 INF01
28092 68 INGIND35
28093 48 IINF05
28094 22 IINF05
28095 14 CHIM02
28096 98 CHIM02
28097 23 INGIND35
28098 85 INF01
28099 57 MAT01
28100 100 AGR03
28101 95 IINF05
28102 86 IINF05
28103 8 INF01
28104 20 AGR03
28105 19 CHIM02
28106 48 IINF05
28107 29 IINF04
28108 73 IINF05
28109 18 INF01
28110 98 CHIM02
28111 83 CHIM02
28112 6 IINF04
28113 15 MED18
28114 23 MED18
28115 22 INF01
28116 2 FIS01
28117 65 FIS01
28118 49 INF01
28119 52 MAT01
28120 99 INGIND35
28121 78 IINF04
28122 78 INF01
28123 66 INGIND35
28124 29 IINF05
28125 72 MAT01
28126 31 INGIND35
28127 19 BIO10
28128 70 CHIM02
28129 36 FIS01
28130 99 FIS01
28131 74 BIO10
28132 99 INGIND35
28133 58 INF01
28134 57 CHIM02
28135 73 AGR03
28136 87 IINF05
28137 78 FIS01
28138 47 AGR03
28139 78 CHIM02
28140 64 AGR03
28141 94 IINF04
28142 17 AGR03
28143 10 AGR03
28144 35 BIO10
28145 88 IINF04
28146 87 AGR03
28147 56 MED18
28148 84 MAT01
28149 10 CHIM02
28150 64 IINF05
28151 56 IINF04
28152 58 INGIND35
28153 43 CHIM02
28154 83 INGIND35
28155 74 IINF05
28156 54 MED18
28157 79 MAT01
28158 10 MAT01
28159 67 MED18
28160 99 IINF04
28161 23 INF01
28162 71 FIS01
28163 54 INGIND35
28164 67 BIO10
28165 18 INF01
28166 6 MED18
28167 78 IINF04
28168 38 AGR03
28169 54 IINF04
28170 67 MAT01
28171 89 BIO10
28172 26 INF01
28173 24 INF01
28174 80 CHIM02
28175 76 AGR03
28176 93 FIS01
28177 82 MED18
28178 8 FIS01
28179 8 IINF05
28180 4 FIS01
28181 54 CHIM02
28182 49 FIS01
28183 39 IINF05
28184 17 IINF05
28185 100 FIS01
28186 24 FIS01
28187 11 MED18
28188 43 FIS01
28189 60 AGR03
28190 6 INF01
28191 12 IINF05
28192 69 MED18
28193 60 BIO10
28194 93 MED18
28195 27 MED18
28196 60 IINF04
28197 45 MAT01
28198 13 IINF05
28199 57 INGIND35
28200 53 BIO10
28201 32 INGIND35
28202 76 INGIND35
28203 61 INF01
28204 83 MAT01
28205 82 FIS01
28206 59 INGIND35
28207 99 IINF05
28208 64 IINF05
28209 12 CHIM02
28210 78 IINF05
28211 79 MAT01
28212 6 INF01
28213 68 INGIND35
28214 64 MED18
28215 2 MED18
28216 63 CHIM02
28217 58 INGIND35
28218 12 INGIND35
28219 19 IINF04
28220 23 INF01
28221 34 AGR03
28222 46 CHIM02
28223 31 IINF04
28224 16 BIO10
28225 27 BIO10
28226 87 INF01
28227 69 MAT01
28228 58 MED18
28229 90 IINF04
28230 43 MED18
28231 60 IINF05
28232 66 IINF04
28233 9 FIS01
28234 5 FIS01
28235 94 INGIND35
28236 78 CHIM02
28237 14 IINF04
28238 98 FIS01
28239 83 MAT01
28240 76 AGR03
28241 28 BIO10
28242 27 INGIND35
28243 76 CHIM02
28244 76 MED18
28245 89 IINF05
28246 46 INGIND35
28247 21 FIS01
28248 85 INGIND35
28249 11 INGIND35
28250 25 IINF05
28251 56 MAT01
28252 30 AGR03
28253 20 AGR03
28254 3 IINF05
28255 40 IINF04
28256 80 AGR03
28257 11 IINF05
28258 52 BIO10
28259 83 MAT01
28260 32 MAT01
28261 38 AGR03
28262 89 INF01
28263 41 CHIM02
28264 46 MED18
28265 12 AGR03
28266 18 IINF04
28267 28 CHIM02
28268 72 INGIND35
28269 96 MAT01
28270 90 AGR03
28271 54 MED18
28272 13 INGIND35
28273 39 MAT01
28274 25 MAT01
28275 58 AGR03
28276 35 AGR03
28277 39 CHIM02
28278 69 BIO10
28279 96 IINF04
28280 81 INGIND35
28281 47 IINF05
28282 55 INGIND35
28283 41 IINF04
28284 34 BIO10
28285 96 INF01
28286 34 IINF04
28287 73 MAT01
28288 59 CHIM02
28289 51 AGR03
28290 14 INF01
28291 80 MED18
28292 59 INF01
28293 92 IINF05
28294 27 MED18
28295 60 MAT01
28296 66 IINF04
28297 4 INF01
28298 36 INGIND35
28299 89 AGR03
28300 96 INF01
28301 89 IINF05
28302 64 IINF04
28303 74 FIS01
28304 11 INF01
28305 29 CHIM02
28306 100 AGR03
28307 62 IINF05
28308 69 MED18
28309 6 INF01
28310 14 INF01
28311 10 IINF05
28312 71 FIS01
28313 22 INF01
28314 37 AGR03
28315 98 MED18
28316 4 INGIND35
28317 20 IINF04
28318 31 IINF04
28319 99 FIS01
28320 99 CHIM02
28321 81 AGR03
28322 41 CHIM02
28323 22 INGIND35
28324 93 IINF04
28325 96 BIO10
28326 40 IINF04
28327 82 CHIM02
28328 69 FIS01
28329 21 AGR03
28330 82 IINF05
28331 31 FIS01
28332 87 MED18
28333 44 IINF04
28334 68 IINF04
28335 87 AGR03
28336 41 CHIM02
28337 19 MAT01
28338 64 MAT01
28339 81 IINF05
28340 81 INGIND35
28341 100 MAT01
28342 90 IINF05
28343 14 INGIND35
28344 56 MED18
28345 80 IINF04
28346 41 BIO10
28347 17 IINF05
28348 80 FIS01
28349 16 CHIM02
28350 88 INF01
28351 24 IINF05
28352 48 BIO10
28353 68 INF01
28354 8 BIO10
28355 92 IINF05
28356 83 IINF04
28357 18 CHIM02
28358 61 IINF04
28359 95 MED18
28360 79 AGR03
28361 22 BIO10
28362 33 CHIM02
28363 93 AGR03
28364 23 INGIND35
28365 59 AGR03
28366 86 INGIND35
28367 6 IINF05
28368 23 INF01
28369 80 BIO10
28370 15 MAT01
28371 35 INF01
28372 62 INF01
28373 32 CHIM02
28374 11 AGR03
28375 62 INGIND35
28376 43 IINF04
28377 19 MED18
28378 13 INF01
28379 84 CHIM02
28380 63 MED18
28381 52 IINF04
28382 44 BIO10
28383 50 INGIND35
28384 47 IINF05
28385 57 INF01
28386 90 INGIND35
28387 86 IINF05
28388 13 IINF04
28389 56 AGR03
28390 51 IINF04
28391 63 FIS01
28392 66 AGR03
28393 68 INGIND35
28394 80 CHIM02
28395 77 IINF04
28396 31 IINF05
28397 93 CHIM02
28398 15 IINF05
28399 87 IINF05
28400 58 AGR03
28401 49 CHIM02
28402 35 BIO10
28403 54 FIS01
28404 92 CHIM02
28405 62 FIS01
28406 18 MED18
28407 62 INF01
28408 75 IINF04
28409 22 IINF04
28410 58 FIS01
28411 64 IINF04
28412 17 MED18
28413 100 AGR03
28414 29 MAT01
28415 48 INF01
28416 43 MAT01
28417 28 MAT01
28418 72 INF01
28419 88 MED18
28420 35 IINF05
28421 55 CHIM02
28422 94 MAT01
28423 54 MAT01
28424 86 CHIM02
28425 54 MED18
28426 34 FIS01
28427 100 IINF05
28428 69 AGR03
28429 89 MAT01
28430 31 MED18
28431 69 MED18
28432 19 BIO10
28433 78 INF01
28434 82 BIO10
28435 99 AGR03
28436 56 MAT01
28437 56 IINF05
28438 7 IINF04
28439 41 FIS01
28440 59 AGR03
28441 57 BIO10
28442 86 FIS01
28443 17 MED18
28444 82 MAT01
28445 32 MED18
28446 76 FIS01
28447 32 AGR03
28448 27 AGR03
28449 89 AGR03
28450 51 FIS01
28451 10 MAT01
28452 62 IINF04
28453 67 INF01
28454 46 FIS01
28455 30 INF01
28456 94 INGIND35
28457 96 MED18
28458 61 FIS01
28459 66 CHIM02
28460 8 MAT01
28461 30 BIO10
28462 60 INGIND35
28463 70 AGR03
28464 31 CHIM02
28465 75 CHIM02
28466 93 CHIM02
28467 98 CHIM02
28468 48 FIS01
28469 66 CHIM02
28470 55 INGIND35
28471 84 BIO10
28472 47 INGIND35
28473 3 FIS01
28474 14 INGIND35
28475 16 AGR03
28476 74 IINF05
28477 18 BIO10
28478 6 MAT01
28479 28 INGIND35
28480 35 MAT01
28481 95 FIS01
28482 8 INF01
28483 70 AGR03
28484 22 IINF04
28485 31 CHIM02
28486 76 FIS01
28487 49 INF01
28488 89 INGIND35
28489 100 IINF04
28490 13 FIS01
28491 38 IINF05
28492 68 AGR03
28493 34 MED18
28494 94 MAT01
28495 52 AGR03
28496 73 FIS01
28497 56 AGR03
28498 65 FIS01
28499 92 BIO10
28500 15 AGR03
28501 14 CHIM02
28502 12 IINF05
28503 86 IINF05
28504 52 MAT01
28505 79 BIO10
28506 33 IINF04
28507 3 INF01
28508 54 FIS01
28509 60 IINF05
28510 88 INGIND35
28511 96 INGIND35
28512 52 IINF05
28513 81 MAT01
28514 17 MAT01
28515 22 CHIM02
28516 25 BIO10
28517 42 MAT01
28518 5 INGIND35
28519 71 AGR03
28520 59 IINF04
28521 48 AGR03
28522 19 MAT01
28523 68 INGIND35
28524 1 MED18
28525 90 MAT01
28526 48 IINF04
28527 30 MAT01
28528 100 FIS01
28529 95 FIS01
28530 76 IINF05
28531 64 IINF05
28532 67 MAT01
28533 65 MED18
28534 86 MAT01
28535 80 BIO10
28536 82 IINF04
28537 69 BIO10
28538 89 BIO10
28539 74 IINF05
28540 48 BIO10
28541 6 FIS01
28542 15 BIO10
28543 30 INF01
28544 35 IINF04
28545 31 IINF04
28546 36 MAT01
28547 22 IINF05
28548 9 AGR03
28549 24 INGIND35
28550 85 MED18
28551 6 INF01
28552 67 IINF04
28553 47 IINF04
28554 5 IINF04
28555 55 CHIM02
28556 20 MED18
28557 41 INGIND35
28558 11 MAT01
28559 27 MAT01
28560 66 AGR03
28561 64 IINF04
28562 93 IINF04
28563 24 MED18
28564 20 MAT01
28565 27 MED18
28566 6 IINF05
28567 21 IINF04
28568 36 AGR03
28569 5 IINF04
28570 16 CHIM02
28571 13 INGIND35
28572 20 CHIM02
28573 30 MAT01
28574 67 AGR03
28575 80 CHIM02
28576 27 IINF05
28577 25 IINF05
28578 68 INF01
28579 72 IINF04
28580 62 AGR03
28581 18 CHIM02
28582 13 INF01
28583 39 BIO10
28584 64 AGR03
28585 61 CHIM02
28586 28 BIO10
28587 82 AGR03
28588 57 IINF05
28589 18 FIS01
28590 58 AGR03
28591 43 AGR03
28592 5 IINF04
28593 15 CHIM02
28594 40 INGIND35
28595 4 CHIM02
28596 44 BIO10
28597 91 IINF05
28598 71 BIO10
28599 76 MED18
28600 91 INGIND35
28601 64 MED18
28602 85 BIO10
28603 71 BIO10
28604 50 CHIM02
28605 88 MAT01
28606 47 CHIM02
28607 8 IINF05
28608 77 IINF05
28609 52 INF01
28610 81 INGIND35
28611 39 INF01
28612 87 INGIND35
28613 99 FIS01
28614 50 MED18
28615 10 CHIM02
28616 12 MED18
28617 76 FIS01
28618 49 INF01
28619 55 INGIND35
28620 78 MED18
28621 57 AGR03
28622 90 BIO10
28623 14 MAT01
28624 1 MED18
28625 73 MED18
28626 32 INF01
28627 20 BIO10
28628 46 IINF04
28629 64 BIO10
28630 23 CHIM02
28631 14 IINF04
28632 60 MED18
28633 31 FIS01
28634 23 CHIM02
28635 53 IINF04
28636 28 FIS01
28637 10 IINF05
28638 44 AGR03
28639 17 MAT01
28640 81 CHIM02
28641 18 AGR03
28642 32 INGIND35
28643 7 INGIND35
28644 73 IINF04
28645 30 BIO10
28646 73 IINF04
28647 41 IINF04
28648 14 CHIM02
28649 82 IINF04
28650 15 INF01
28651 100 IINF04
