5801 CHIM02 0
62642 46 IINF05
62643 78 IINF05
62644 25 INGIND35
62645 57 INF01
62646 76 CHIM02
62647 65 CHIM02
62648 69 BIO10
62649 40 BIO10
62650 35 IINF05
62651 11 INGIND35
62652 97 MED18
62653 80 FIS01
62654 43 INF01
62655 5 MED18
62656 68 FIS01
62657 44 IINF04
62658 8 MED18
62659 33 AGR03
62660 100 CHIM02
62661 23 CHIM02
62662 99 MAT01
62663 83 INGIND35
62664 67 MED18
62665 97 MAT01
62666 23 INGIND35
62667 63 CHIM02
62668 45 INGIND35
62669 63 BIO10
62670 43 MAT01
62671 95 INF01
62672 67 MAT01
62673 44 BIO10
62674 38 AGR03
62675 65 INF01
62676 100 MAT01
62677 82 MED18
62678 30 MAT01
62679 63 MAT01
62680 78 FIS01
62681 90 CHIM02
62682 74 IINF05
62683 56 MAT01
62684 77 FIS01
62685 51 FIS01
62686 98 INF01
62687 70 MED18
62688 6 BIO10
62689 28 FIS01
62690 6 INGIND35
62691 37 MAT01
62692 94 MED18
62693 48 BIO10
62694 43 IINF04
62695 36 FIS01
62696 49 IINF05
62697 69 IINF05
62698 58 BIO10
62699 21 INGIND35
62700 80 MED18
62701 12 MED18
62702 24 INGIND35
62703 50 INF01
62704 34 BIO10
62705 82 MED18
62706 98 CHIM02
62707 66 AGR03
62708 38 INGIND35
62709 89 AGR03
62710 10 BIO10
62711 93 IINF05
62712 13 INGIND35
62713 77 AGR03
62714 61 INF01
62715 13 CHIM02
62716 86 IINF05
62717 100 BIO10
62718 40 MAT01
62719 76 INF01
62720 22 CHIM02
62721 88 INF01
62722 95 MAT01
62723 88 INF01
62724 63 MAT01
62725 35 MAT01
62726 64 BIO10
62727 43 AGR03
62728 15 INF01
62729 26 INF01
62730 85 FIS01
62731 47 INGIND35
62732 12 FIS01
62733 2 MAT01
62734 36 INF01
62735 53 CHIM02
62736 97 INF01
62737 23 FIS01
62738 48 CHIM02
62739 99 IINF05
62740 5 INF01
62741 53 INGIND35
62742 50 IINF04
62743 46 AGR03
62744 2 CHIM02
62745 22 FIS01
62746 25 CHIM02
62747 55 INF01
62748 44 AGR03
62749 19 INGIND35
62750 95 MAT01
62751 23 INGIND35
62752 84 CHIM02
62753 25 IINF04
62754 50 INGIND35
62755 66 INF01
62756 15 CHIM02
62757 65 FIS01
62758 13 CHIM02
62759 73 MED18
62760 73 MAT01
62761 68 INF01
62762 55 INF01
62763 63 MAT01
62764 81 AGR03
62765 70 IINF05
62766 91 IINF04
62767 47 BIO10
62768 6 INGIND35
62769 92 FIS01
62770 55 MED18
62771 27 INF01
62772 93 FIS01
62773 63 FIS01
62774 88 IINF04
62775 84 BIO10
62776 60 MAT01
62777 12 CHIM02
62778 60 MED18
62779 28 IINF05
62780 16 IINF05
62781 52 CHIM02
62782 25 CHIM02
62783 86 FIS01
62784 44 MAT01
62785 83 INGIND35
62786 62 IINF05
62787 95 MAT01
62788 13 IINF04
62789 26 INF01
62790 21 IINF04
62791 42 MED18
62792 97 FIS01
62793 94 IINF04
62794 6 CHIM02
62795 73 INGIND35
62796 5 CHIM02
62797 74 AGR03
62798 5 AGR03
62799 11 BIO10
62800 33 MED18
62801 34 MED18
62802 16 MAT01
62803 26 BIO10
62804 38 AGR03
62805 86 CHIM02
62806 64 INGIND35
62807 88 BIO10
62808 8 MAT01
62809 37 MED18
62810 13 AGR03
62811 17 IINF05
62812 39 INF01
62813 22 MAT01
62814 25 CHIM02
62815 48 AGR03
62816 21 IINF05
62817 74 INGIND35
62818 47 FIS01
62819 90 IINF04
62820 20 MED18
62821 84 AGR03
62822 70 BIO10
62823 38 INF01
62824 16 IINF04
62825 44 CHIM02
62826 78 IINF04
62827 85 MAT01
62828 40 MAT01
62829 96 INGIND35
62830 95 CHIM02
62831 47 IINF04
62832 95 CHIM02
62833 15 MED18
62834 92 IINF04
62835 6 AGR03
62836 4 BIO10
62837 31 INGIND35
62838 71 INGIND35
62839 35 MED18
62840 48 IINF05
62841 42 IINF05
62842 49 INF01
62843 54 IINF04
62844 92 INGIND35
62845 73 CHIM02
62846 1 INF01
62847 39 FIS01
62848 90 MED18
62849 68 IINF05
62850 11 CHIM02
62851 69 INF01
62852 80 MAT01
62853 14 MED18
62854 38 MED18
62855 81 FIS01
62856 86 IINF04
62857 72 MED18
62858 67 INGIND35
62859 78 IINF05
62860 74 BIO10
62861 97 CHIM02
62862 12 MAT01
62863 80 MED18
62864 33 CHIM02
62865 36 AGR03
62866 62 MED18
62867 100 FIS01
62868 18 CHIM02
62869 95 INF01
62870 68 FIS01
62871 27 MED18
62872 24 IINF04
62873 29 MED18
62874 41 INGIND35
62875 86 AGR03
62876 21 IINF04
62877 53 CHIM02
62878 49 AGR03
62879 47 INGIND35
62880 28 IINF04
62881 66 BIO10
62882 52 IINF05
62883 17 CHIM02
62884 99 CHIM02
62885 47 MED18
62886 39 CHIM02
62887 80 BIO10
62888 81 IINF04
62889 16 IINF04
62890 4 FIS01
62891 95 BIO10
62892 93 MAT01
62893 68 IINF05
62894 86 MED18
62895 52 IINF04
62896 51 INF01
62897 49 FIS01
62898 75 MED18
62899 75 IINF05
62900 78 AGR03
62901 56 MED18
62902 9 AGR03
62903 2 INF01
62904 17 MED18
62905 26 MED18
62906 83 BIO10
62907 70 IINF05
62908 16 IINF05
62909 90 CHIM02
62910 75 INGIND35
62911 31 INGIND35
62912 47 MAT01
62913 24 CHIM02
62914 72 FIS01
62915 89 MAT01
62916 40 MED18
62917 93 INF01
62918 98 MED18
62919 31 AGR03
62920 58 CHIM02
62921 64 INGIND35
62922 26 MED18
62923 97 AGR03
62924 2 INGIND35
62925 1 IINF04
62926 36 IINF04
62927 60 INF01
62928 7 FIS01
62929 99 IINF05
62930 88 INGIND35
62931 78 INF01
62932 16 INF01
62933 55 FIS01
62934 18 BIO10
62935 17 INGIND35
62936 46 INGIND35
62937 2 IINF04
62938 86 INGIND35
62939 52 IINF04
62940 1 INGIND35
62941 86 FIS01
62942 33 IINF04
62943 82 CHIM02
62944 33 INGIND35
62945 94 BIO10
62946 91 MED18
62947 42 CHIM02
62948 4 MED18
62949 16 FIS01
62950 79 IINF05
62951 98 MAT01
62952 54 IINF05
62953 91 MED18
62954 25 BIO10
62955 36 MED18
62956 48 INGIND35
62957 13 FIS01
62958 19 INGIND35
62959 95 MED18
62960 25 MAT01
62961 83 MED18
62962 11 MAT01
62963 23 MAT01
62964 61 IINF04
62965 90 INGIND35
62966 67 CHIM02
62967 96 IINF05
62968 40 MAT01
62969 16 MED18
62970 56 MAT01
62971 23 IINF04
62972 40 CHIM02
62973 77 FIS01
62974 83 BIO10
62975 76 CHIM02
62976 28 FIS01
62977 77 MED18
62978 38 FIS01
62979 31 AGR03
62980 1 MED18
62981 29 INF01
62982 53 CHIM02
62983 71 MAT01
62984 96 AGR03
62985 85 INF01
62986 85 AGR03
62987 100 MAT01
62988 22 INGIND35
62989 47 BIO10
62990 7 INF01
62991 86 FIS01
62992 49 FIS01
62993 36 INGIND35
62994 33 AGR03
62995 4 FIS01
62996 78 AGR03
62997 43 BIO10
62998 33 IINF04
62999 24 INGIND35
63000 78 MED18
63001 22 INF01
63002 5 CHIM02
63003 76 IINF05
63004 98 INF01
63005 71 IINF04
63006 92 MAT01
63007 65 BIO10
63008 62 INF01
63009 71 AGR03
63010 37 IINF04
63011 97 BIO10
63012 15 CHIM02
63013 76 IINF04
63014 60 INF01
63015 58 MAT01
63016 20 AGR03
63017 53 FIS01
63018 98 FIS01
63019 44 BIO10
63020 98 AGR03
63021 32 AGR03
63022 73 MAT01
63023 77 IINF05
63024 6 IINF05
63025 41 CHIM02
63026 79 CHIM02
63027 87 INF01
63028 38 IINF05
63029 63 FIS01
63030 99 FIS01
63031 84 IINF04
63032 26 INF01
63033 9 INF01
63034 37 AGR03
63035 43 MAT01
63036 42 IINF04
63037 97 FIS01
63038 51 IINF05
63039 31 IINF04
63040 66 CHIM02
63041 77 IINF04
63042 83 FIS01
63043 91 INGIND35
63044 78 FIS01
63045 77 MAT01
63046 17 INF01
63047 92 FIS01
63048 31 MED18
63049 4 IINF05
63050 81 AGR03
63051 88 CHIM02
63052 18 MAT01
63053 63 FIS01
63054 63 CHIM02
63055 86 IINF05
63056 44 INF01
63057 10 IINF04
63058 73 MAT01
63059 36 AGR03
63060 48 MAT01
63061 25 MED18
63062 39 MAT01
63063 93 AGR03
63064 72 INGIND35
63065 64 CHIM02
63066 96 BIO10
63067 20 FIS01
63068 1 BIO10
63069 40 IINF04
63070 4 BIO10
63071 96 INF01
63072 43 CHIM02
63073 57 IINF04
63074 50 IINF05
63075 72 IINF04
63076 25 FIS01
63077 37 IINF05
63078 42 MAT01
63079 55 FIS01
63080 31 INGIND35
63081 64 MAT01
63082 88 MAT01
63083 86 IINF05
63084 58 FIS01
63085 18 IINF04
63086 46 MED18
63087 62 FIS01
63088 21 INF01
63089 34 BIO10
63090 43 MED18
63091 90 INF01
63092 1 BIO10
63093 27 AGR03
63094 44 FIS01
63095 95 MED18
63096 28 MED18
63097 29 AGR03
63098 18 AGR03
63099 45 INGIND35
63100 55 AGR03
63101 54 MAT01
63102 68 INGIND35
63103 5 IINF05
63104 89 AGR03
63105 1 MED18
63106 79 BIO10
63107 4 AGR03
63108 37 BIO10
63109 97 IINF04
63110 69 IINF04
63111 56 IINF05
63112 31 MAT01
63113 58 FIS01
63114 85 IINF05
63115 68 BIO10
63116 64 IINF05
63117 45 INF01
63118 34 IINF04
63119 87 AGR03
63120 78 INGIND35
63121 94 AGR03
63122 4 AGR03
63123 90 MED18
63124 59 IINF04
63125 47 BIO10
63126 27 CHIM02
63127 18 BIO10
63128 83 MED18
63129 16 CHIM02
63130 14 MAT01
63131 43 IINF05
63132 63 INF01
63133 87 FIS01
63134 73 IINF04
63135 35 CHIM02
63136 61 INF01
63137 77 FIS01
63138 7 BIO10
63139 78 FIS01
63140 92 INGIND35
63141 48 INF01
63142 85 FIS01
63143 29 FIS01
63144 38 MAT01
63145 52 INGIND35
63146 90 BIO10
63147 71 FIS01
63148 16 IINF04
63149 67 IINF05
63150 82 MAT01
63151 57 CHIM02
63152 71 IINF05
63153 65 AGR03
63154 82 BIO10
63155 33 BIO10
63156 30 INGIND35
63157 8 MAT01
63158 83 IINF05
63159 63 IINF05
63160 75 IINF05
63161 6 BIO10
63162 33 CHIM02
63163 56 BIO10
63164 8 MAT01
63165 97 INGIND35
63166 56 BIO10
63167 7 CHIM02
63168 31 BIO10
63169 27 FIS01
63170 52 IINF04
63171 71 AGR03
63172 47 IINF04
63173 18 CHIM02
63174 81 MAT01
63175 67 AGR03
63176 90 IINF05
63177 4 BIO10
63178 61 IINF04
63179 56 INGIND35
63180 5 CHIM02
63181 69 BIO10
63182 80 BIO10
63183 99 IINF04
63184 44 CHIM02
63185 69 IINF05
63186 100 IINF05
63187 76 IINF05
63188 83 BIO10
63189 94 INGIND35
63190 51 IINF05
63191 30 MED18
63192 40 IINF04
63193 90 IINF04
63194 76 IINF05
63195 85 INGIND35
63196 32 INGIND35
63197 2 FIS01
63198 56 BIO10
63199 93 IINF05
63200 62 FIS01
63201 69 BIO10
63202 25 INGIND35
63203 52 INF01
63204 81 MED18
63205 44 MAT01
63206 52 FIS01
63207 61 IINF04
63208 77 IINF04
63209 18 AGR03
63210 19 IINF05
63211 92 INGIND35
63212 8 IINF04
63213 34 IINF04
63214 77 IINF04
63215 32 BIO10
63216 13 MAT01
63217 35 BIO10
63218 2 FIS01
63219 100 INF01
63220 50 INGIND35
63221 22 INF01
63222 78 CHIM02
63223 39 FIS01
63224 67 MAT01
63225 35 FIS01
63226 85 IINF04
63227 31 IINF04
63228 99 MAT01
63229 16 CHIM02
63230 93 AGR03
63231 92 MED18
63232 49 MAT01
63233 11 CHIM02
63234 36 AGR03
63235 14 BIO10
63236 95 INGIND35
63237 18 IINF05
63238 24 AGR03
63239 11 IINF05
63240 10 CHIM02
63241 4 INF01
63242 32 MAT01
63243 71 INGIND35
63244 93 IINF04
63245 53 IINF05
63246 41 IINF05
63247 49 FIS01
63248 8 CHIM02
63249 77 INF01
63250 25 MAT01
63251 1 IINF04
63252 18 IINF04
63253 9 IINF05
63254 31 AGR03
63255 96 IINF05
63256 28 IINF05
63257 87 INF01
63258 52 INF01
63259 25 MAT01
63260 35 MED18
63261 20 IINF05
63262 66 CHIM02
63263 64 MAT01
63264 79 INGIND35
63265 37 IINF04
63266 87 AGR03
63267 68 BIO10
63268 53 AGR03
63269 87 IINF05
63270 49 INGIND35
63271 86 AGR03
63272 97 IINF04
63273 90 IINF05
63274 27 MED18
63275 79 FIS01
63276 89 INF01
63277 3 CHIM02
63278 94 MED18
63279 97 MAT01
63280 89 MAT01
63281 60 MAT01
63282 89 BIO10
63283 42 AGR03
63284 51 INF01
63285 21 FIS01
63286 3 IINF04
63287 99 AGR03
63288 54 CHIM02
63289 11 INF01
63290 13 BIO10
63291 32 FIS01
63292 29 IINF04
63293 22 MED18
63294 76 INGIND35
63295 86 INGIND35
63296 34 AGR03
63297 60 IINF04
63298 86 INGIND35
63299 16 MED18
63300 33 CHIM02
63301 60 INF01
63302 75 INF01
63303 89 INGIND35
63304 7 INGIND35
63305 98 AGR03
63306 95 CHIM02
63307 84 BIO10
63308 21 FIS01
63309 37 MED18
63310 61 MED18
63311 46 MED18
63312 52 INF01
63313 41 INGIND35
63314 88 BIO10
63315 96 IINF05
63316 69 INF01
63317 4 CHIM02
63318 83 IINF05
63319 95 INF01
63320 84 MAT01
63321 38 FIS01
63322 30 FIS01
63323 42 MAT01
63324 56 INGIND35
63325 33 IINF05
63326 85 FIS01
63327 94 IINF04
63328 25 IINF04
63329 15 MAT01
63330 95 IINF04
63331 60 MED18
63332 29 INF01
63333 94 FIS01
63334 25 INF01
63335 21 INF01
63336 36 INF01
63337 76 IINF04
63338 53 MAT01
63339 82 FIS01
63340 72 MAT01
63341 94 IINF04
63342 85 BIO10
63343 37 CHIM02
63344 21 IINF05
63345 38 AGR03
63346 83 INF01
63347 40 FIS01
63348 67 IINF04
63349 59 IINF05
63350 4 IINF05
63351 79 BIO10
63352 21 BIO10
63353 39 CHIM02
63354 83 INGIND35
63355 64 FIS01
63356 11 AGR03
63357 93 FIS01
63358 10 INGIND35
63359 70 CHIM02
63360 98 MED18
63361 62 MAT01
63362 65 MED18
63363 75 AGR03
63364 9 MED18
63365 27 MED18
63366 43 FIS01
63367 66 CHIM02
63368 24 CHIM02
63369 6 IINF05
63370 78 INGIND35
63371 71 INGIND35
63372 92 INGIND35
63373 65 IINF05
63374 86 IINF04
63375 43 MED18
63376 8 IINF04
63377 49 MAT01
63378 88 BIO10
63379 94 MAT01
63380 45 IINF04
63381 9 CHIM02
63382 75 IINF04
63383 63 IINF04
63384 16 IINF04
63385 91 IINF04
63386 61 INGIND35
63387 93 AGR03
63388 18 CHIM02
63389 52 AGR03
63390 36 AGR03
63391 81 AGR03
63392 4 FIS01
63393 87 FIS01
63394 33 INGIND35
63395 6 MED18
63396 29 CHIM02
63397 100 BIO10
63398 62 IINF04
63399 69 IINF05
63400 4 INF01
63401 67 IINF05
63402 69 INF01
63403 35 MED18
63404 57 AGR03
63405 9 MAT01
63406 7 AGR03
63407 73 INF01
63408 7 CHIM02
63409 75 IINF05
63410 48 CHIM02
63411 45 CHIM02
63412 56 AGR03
63413 91 INF01
63414 64 BIO10
63415 99 MAT01
63416 55 CHIM02
63417 20 IINF04
63418 27 IINF05
63419 68 MED18
63420 2 CHIM02
63421 54 BIO10
63422 52 BIO10
63423 49 IINF04
63424 93 BIO10
63425 59 MAT01
63426 80 MAT01
63427 63 BIO10
63428 8 AGR03
63429 7 IINF04
63430 9 MED18
63431 51 BIO10
63432 45 MED18
63433 18 INF01
63434 63 FIS01
63435 68 IINF05
63436 81 MAT01
63437 81 BIO10
63438 31 IINF04
63439 73 MED18
63440 37 MED18
63441 82 FIS01
63442 62 AGR03
63443 16 CHIM02
63444 64 INF01
63445 86 AGR03
63446 58 FIS01
63447 18 BIO10
63448 59 FIS01
63449 1 MAT01
63450 27 IINF04
63451 33 BIO10
63452 30 INF01
63453 87 MAT01
63454 49 MED18
63455 92 INGIND35
63456 58 CHIM02
63457 52 IINF05
63458 36 INF01
63459 83 FIS01
63460 72 MED18
63461 92 INF01
63462 99 INF01
63463 36 FIS01
63464 43 AGR03
63465 77 IINF04
63466 33 BIO10
63467 67 INF01
63468 41 CHIM02
63469 16 BIO10
63470 17 INGIND35
63471 29 INGIND35
63472 11 INGIND35
63473 67 INGIND35
63474 36 INF01
63475 21 BIO10
63476 21 MED18
63477 54 INGIND35
63478 67 MED18
63479 96 CHIM02
63480 84 MED18
63481 23 INF01
63482 78 IINF04
63483 76 BIO10
63484 86 AGR03
63485 82 MED18
63486 23 CHIM02
63487 89 IINF05
63488 30 IINF05
63489 76 FIS01
63490 55 IINF04
63491 2 MAT01
63492 20 FIS01
63493 49 INGIND35
63494 11 FIS01
63495 79 AGR03
63496 57 BIO10
63497 72 INGIND35
63498 6 MED18
63499 23 INF01
63500 58 MAT01
63501 78 AGR03
63502 54 AGR03
63503 78 MED18
63504 21 AGR03
63505 57 CHIM02
63506 15 MED18
63507 87 MAT01
63508 31 INGIND35
63509 57 BIO10
63510 4 INGIND35
63511 37 MED18
63512 53 INGIND35
63513 44 IINF04
63514 86 AGR03
63515 83 IINF04
63516 77 AGR03
63517 81 IINF04
63518 100 FIS01
63519 4 BIO10
63520 84 MAT01
63521 75 BIO10
63522 58 IINF04
63523 47 BIO10
63524 60 CHIM02
63525 16 INGIND35
63526 83 INF01
63527 2 IINF04
63528 45 AGR03
63529 10 MED18
63530 41 MED18
63531 80 IINF04
63532 91 MAT01
63533 77 FIS01
63534 27 IINF05
63535 46 CHIM02
63536 41 CHIM02
63537 99 BIO10
63538 60 MED18
63539 86 INF01
63540 12 AGR03
63541 48 FIS01
63542 88 AGR03
63543 89 MED18
63544 54 IINF05
63545 66 MAT01
63546 35 MAT01
63547 13 INGIND35
63548 36 AGR03
63549 23 CHIM02
63550 54 INF01
63551 8 FIS01
63552 17 MED18
63553 49 MAT01
63554 59 MAT01
63555 33 MAT01
63556 22 MAT01
63557 70 MED18
63558 23 BIO10
63559 16 IINF05
63560 31 MED18
63561 63 AGR03
63562 2 FIS01
63563 57 CHIM02
63564 63 IINF04
63565 68 IINF05
63566 8 INGIND35
63567 39 CHIM02
63568 45 INGIND35
63569 22 IINF05
63570 17 BIO10
63571 80 BIO10
63572 83 BIO10
63573 12 INF01
63574 93 MAT01
63575 14 FIS01
63576 41 BIO10
63577 3 IINF05
63578 49 MAT01
63579 8 FIS01
63580 16 INGIND35
63581 66 INF01
63582 97 BIO10
63583 64 INF01
63584 87 INF01
63585 61 MED18
63586 28 BIO10
63587 14 BIO10
63588 77 IINF04
63589 87 MED18
63590 5 IINF04
63591 70 FIS01
63592 77 INF01
63593 4 IINF05
63594 80 BIO10
63595 38 AGR03
63596 60 BIO10
63597 100 AGR03
63598 38 IINF04
63599 86 MAT01
63600 83 CHIM02
63601 44 AGR03
63602 10 BIO10
63603 54 AGR03
63604 43 IINF05
63605 47 INGIND35
63606 13 INF01
63607 30 INF01
63608 19 MED18
63609 92 FIS01
63610 77 FIS01
63611 7 IINF04
63612 70 INF01
63613 43 FIS01
63614 39 INGIND35
63615 25 CHIM02
63616 66 IINF05
63617 16 CHIM02
63618 10 INF01
63619 60 INGIND35
63620 81 IINF05
63621 44 AGR03
63622 26 MAT01
63623 13 INF01
63624 5 IINF04
63625 63 IINF04
63626 28 FIS01
63627 98 AGR03
63628 80 CHIM02
63629 24 CHIM02
63630 39 IINF04
63631 86 BIO10
63632 70 BIO10
63633 61 INGIND35
63634 23 CHIM02
63635 88 BIO10
63636 34 CHIM02
63637 17 IINF05
63638 61 INGIND35
63639 39 INGIND35
63640 91 IINF05
63641 68 IINF04
63642 79 IINF05
63643 65 BIO10
63644 21 IINF04
63645 43 MAT01
63646 93 IINF05
63647 53 IINF04
63648 98 CHIM02
63649 98 MED18
63650 58 MED18
63651 80 AGR03
63652 18 FIS01
63653 87 CHIM02
63654 86 MED18
63655 48 INGIND35
63656 50 IINF05
63657 98 AGR03
63658 97 INF01
63659 79 MAT01
63660 77 AGR03
63661 85 CHIM02
63662 45 INF01
63663 10 MAT01
63664 33 IINF04
63665 13 IINF04
63666 36 IINF04
63667 79 AGR03
63668 64 AGR03
63669 39 CHIM02
63670 19 BIO10
63671 41 FIS01
63672 84 INGIND35
63673 30 AGR03
63674 97 CHIM02
63675 62 BIO10
63676 91 BIO10
63677 35 MED18
63678 71 MED18
63679 57 CHIM02
63680 84 INGIND35
63681 27 FIS01
63682 86 INGIND35
63683 18 AGR03
63684 19 INGIND35
63685 72 BIO10
63686 43 MED18
63687 14 INGIND35
63688 67 IINF05
63689 74 INF01
63690 43 INGIND35
63691 25 IINF04
63692 82 MED18
63693 83 MED18
63694 29 FIS01
63695 91 IINF05
63696 100 IINF05
63697 4 IINF05
63698 82 INF01
63699 6 AGR03
63700 22 BIO10
63701 95 AGR03
63702 22 INGIND35
63703 12 INGIND35
63704 10 IINF05
63705 44 IINF04
63706 14 IINF04
63707 48 BIO10
63708 76 INF01
63709 72 INGIND35
63710 79 MED18
63711 89 BIO10
63712 42 INF01
63713 42 BIO10
63714 76 IINF05
63715 66 CHIM02
63716 68 INF01
63717 16 FIS01
63718 64 AGR03
63719 86 IINF05
63720 52 IINF04
63721 64 IINF05
63722 13 MED18
63723 73 BIO10
63724 48 FIS01
63725 92 MED18
63726 62 CHIM02
63727 72 IINF05
63728 43 FIS01
63729 31 AGR03
63730 56 MED18
63731 44 INGIND35
63732 26 CHIM02
63733 3 MED18
63734 48 FIS01
63735 27 MED18
63736 53 INF01
63737 69 FIS01
63738 59 INF01
63739 84 AGR03
63740 62 IINF04
63741 34 IINF05
63742 69 FIS01
63743 93 IINF04
63744 76 IINF05
63745 10 AGR03
63746 20 INGIND35
63747 81 INGIND35
63748 51 IINF04
63749 85 IINF05
63750 100 AGR03
63751 76 INF01
63752 13 CHIM02
63753 86 CHIM02
63754 14 BIO10
63755 97 FIS01
63756 22 IINF04
63757 82 FIS01
63758 23 IINF04
63759 63 MAT01
63760 6 FIS01
63761 21 CHIM02
63762 71 INGIND35
63763 28 AGR03
63764 10 FIS01
63765 27 AGR03
63766 58 MED18
63767 54 MAT01
63768 35 MAT01
63769 79 CHIM02
63770 94 BIO10
63771 40 INF01
63772 55 IINF05
63773 98 MAT01
63774 44 INF01
63775 78 INF01
63776 4 CHIM02
63777 27 FIS01
63778 59 INGIND35
63779 26 MAT01
63780 53 IINF05
63781 56 MAT01
63782 33 BIO10
63783 21 BIO10
63784 59 MAT01
63785 55 FIS01
63786 31 INGIND35
63787 69 IINF04
63788 39 MED18
63789 78 FIS01
63790 71 CHIM02
63791 72 AGR03
63792 79 AGR03
63793 56 CHIM02
63794 4 MAT01
63795 45 IINF05
63796 50 MED18
63797 69 IINF04
63798 94 IINF04
63799 19 BIO10
63800 32 MAT01
63801 4 IINF05
63802 45 IINF04
63803 61 INGIND35
63804 99 IINF04
63805 24 BIO10
63806 21 IINF04
63807 68 INGIND35
63808 29 IINF04
63809 82 MED18
63810 16 AGR03
63811 86 AGR03
63812 82 IINF05
63813 3 FIS01
63814 26 IINF05
63815 64 CHIM02
63816 6 FIS01
63817 57 INGIND35
63818 87 AGR03
63819 40 IINF04
63820 8 IINF05
63821 9 IINF05
63822 40 IINF05
63823 98 IINF04
63824 54 MAT01
63825 99 IINF04
63826 43 MED18
63827 30 IINF04
63828 76 INGIND35
63829 64 AGR03
63830 28 IINF04
63831 68 AGR03
63832 18 INF01
63833 40 IINF05
63834 46 INGIND35
63835 98 IINF04
63836 17 IINF05
63837 65 INGIND35
63838 83 INGIND35
63839 11 IINF04
63840 22 MAT01
63841 11 FIS01
63842 90 MED18
63843 58 INF01
63844 44 MAT01
63845 33 MAT01
63846 73 BIO10
63847 54 IINF05
63848 73 INGIND35
63849 55 FIS01
63850 17 MAT01
63851 98 MAT01
63852 88 FIS01
63853 32 MED18
63854 87 INGIND35
63855 21 INGIND35
63856 52 MAT01
63857 29 MAT01
63858 33 MED18
63859 92 IINF05
63860 13 IINF05
63861 21 FIS01
63862 32 BIO10
63863 6 MAT01
63864 47 MED18
63865 7 IINF04
63866 97 INF01
63867 28 IINF04
63868 66 INGIND35
63869 38 INGIND35
63870 74 BIO10
63871 15 BIO10
63872 62 MAT01
63873 6 INF01
63874 64 MED18
63875 48 MAT01
63876 72 IINF04
63877 84 MED18
63878 1 IINF04
63879 98 INGIND35
63880 81 MED18
63881 48 BIO10
63882 59 IINF04
63883 3 MAT01
63884 9 INGIND35
63885 83 FIS01
63886 49 FIS01
63887 27 INGIND35
63888 60 INGIND35
63889 36 MAT01
63890 37 IINF04
63891 53 FIS01
63892 93 FIS01
63893 67 BIO10
63894 51 IINF04
63895 89 MAT01
63896 61 CHIM02
63897 89 CHIM02
63898 44 AGR03
63899 87 INGIND35
63900 91 FIS01
63901 6 MAT01
63902 52 IINF04
63903 42 MAT01
63904 54 INF01
63905 48 FIS01
63906 32 INGIND35
63907 93 MAT01
63908 10 MAT01
63909 87 INGIND35
63910 99 IINF05
63911 61 MED18
63912 7 MAT01
63913 57 FIS01
63914 98 MED18
63915 2 MAT01
63916 7 INF01
63917 17 IINF04
63918 87 FIS01
63919 85 MED18
63920 17 BIO10
63921 64 INGIND35
63922 4 CHIM02
63923 79 FIS01
63924 33 MAT01
63925 62 IINF05
63926 84 IINF04
63927 53 INF01
63928 42 MED18
63929 81 MAT01
63930 60 INGIND35
63931 94 BIO10
63932 3 IINF05
63933 69 AGR03
63934 18 AGR03
63935 29 MAT01
63936 38 MAT01
63937 78 FIS01
63938 93 INF01
63939 36 INGIND35
63940 74 IINF05
63941 75 MAT01
63942 62 AGR03
63943 25 IINF05
63944 3 IINF04
63945 34 IINF05
63946 14 MED18
63947 99 CHIM02
63948 82 FIS01
63949 64 FIS01
63950 3 MED18
63951 9 MAT01
63952 80 MAT01
63953 9 AGR03
63954 35 CHIM02
63955 100 MED18
63956 46 AGR03
63957 40 INF01
63958 41 IINF04
63959 86 MAT01
63960 87 MAT01
63961 87 IINF04
63962 92 AGR03
63963 98 CHIM02
63964 10 INGIND35
63965 86 MAT01
63966 77 MED18
63967 80 MAT01
63968 58 AGR03
63969 26 AGR03
63970 21 MED18
63971 45 MED18
63972 25 IINF05
63973 30 AGR03
63974 3 MED18
63975 9 IINF04
63976 34 FIS01
63977 84 IINF04
63978 73 INGIND35
63979 58 CHIM02
63980 65 INGIND35
63981 69 FIS01
63982 87 AGR03
63983 70 MED18
63984 33 MED18
63985 85 IINF05
63986 84 INGIND35
63987 98 IINF04
63988 29 FIS01
63989 17 CHIM02
63990 16 AGR03
63991 96 CHIM02
63992 94 INF01
63993 22 BIO10
63994 93 INF01
63995 11 FIS01
63996 61 INF01
63997 98 MED18
63998 54 IINF04
63999 26 BIO10
64000 45 CHIM02
64001 34 INF01
64002 86 CHIM02
64003 2 MAT01
64004 11 IINF05
64005 17 BIO10
64006 87 IINF05
64007 38 CHIM02
64008 7 AGR03
64009 9 MED18
64010 100 INF01
64011 81 MAT01
64012 87 IINF04
64013 66 IINF05
64014 22 MAT01
64015 17 AGR03
64016 26 AGR03
64017 20 MAT01
64018 72 IINF04
64019 76 INGIND35
64020 53 IINF05
64021 26 MAT01
64022 21 FIS01
64023 71 IINF04
64024 65 FIS01
64025 34 IINF04
64026 46 INGIND35
64027 43 INGIND35
64028 43 FIS01
64029 2 AGR03
64030 87 IINF04
64031 40 BIO10
64032 29 INF01
64033 4 INF01
64034 63 IINF05
64035 55 MED18
64036 26 AGR03
64037 68 MED18
64038 51 MAT01
64039 7 MAT01
