8230 FIS01 8
45208 36 INGIND35
45209 11 FIS01
45210 78 FIS01
45211 62 CHIM02
45212 84 IINF05
45213 54 AGR03
45214 89 AGR03
45215 35 FIS01
45216 13 AGR03
45217 41 FIS01
45218 32 BIO10
45219 78 CHIM02
45220 16 IINF05
45221 69 FIS01
45222 100 INF01
45223 31 INGIND35
45224 51 MAT01
45225 69 IINF04
45226 36 INGIND35
45227 87 IINF04
45228 41 BIO10
45229 1 IINF04
45230 27 IINF05
45231 22 BIO10
45232 98 MAT01
45233 75 MAT01
45234 83 IINF04
45235 11 MAT01
45236 26 IINF05
45237 14 CHIM02
45238 48 FIS01
45239 93 IINF05
45240 43 INF01
45241 94 FIS01
45242 97 FIS01
45243 67 INF01
45244 5 CHIM02
45245 19 CHIM02
45246 83 INGIND35
45247 46 MAT01
45248 54 FIS01
45249 22 INGIND35
45250 42 INGIND35
45251 19 IINF05
45252 4 AGR03
45253 78 MED18
45254 45 MED18
45255 77 AGR03
45256 92 IINF04
45257 19 MAT01
45258 16 MED18
45259 88 IINF04
45260 56 INF01
45261 46 MED18
45262 33 IINF04
45263 10 CHIM02
45264 51 IINF04
45265 78 CHIM02
45266 12 CHIM02
45267 61 BIO10
45268 34 MAT01
45269 47 FIS01
45270 11 IINF05
45271 22 MED18
45272 44 IINF05
45273 73 IINF05
45274 56 INF01
45275 36 AGR03
45276 91 INF01
45277 14 CHIM02
45278 94 INF01
45279 38 INF01
45280 27 BIO10
45281 62 INGIND35
45282 20 MED18
45283 63 INGIND35
45284 84 MED18
45285 100 MAT01
45286 99 CHIM02
45287 22 MED18
45288 28 MED18
45289 25 MED18
45290 36 BIO10
45291 48 IINF05
45292 85 MAT01
45293 83 MED18
45294 33 MAT01
45295 30 BIO10
45296 71 FIS01
45297 8 INF01
45298 34 INF01
45299 75 IINF04
45300 48 IINF04
45301 6 BIO10
45302 3 IINF05
45303 53 MAT01
45304 98 BIO10
45305 42 INGIND35
45306 12 INF01
45307 7 INGIND35
45308 86 AGR03
45309 99 CHIM02
45310 48 MAT01
45311 47 FIS01
45312 38 AGR03
45313 70 IINF04
45314 65 BIO10
45315 63 MED18
45316 28 INGIND35
45317 25 BIO10
45318 1 BIO10
45319 98 IINF05
45320 55 MAT01
45321 80 IINF04
45322 88 INF01
45323 8 IINF05
45324 24 BIO10
45325 22 BIO10
45326 52 MAT01
45327 79 AGR03
45328 68 CHIM02
45329 4 INGIND35
45330 28 FIS01
45331 75 BIO10
45332 18 INGIND35
45333 27 MED18
45334 61 IINF04
45335 9 MED18
45336 8 MED18
45337 74 AGR03
45338 35 MAT01
45339 52 BIO10
45340 87 INF01
45341 77 MED18
45342 80 MAT01
45343 55 INF01
45344 59 IINF05
45345 29 AGR03
45346 84 IINF05
45347 2 INF01
45348 95 MED18
45349 44 BIO10
45350 70 BIO10
45351 53 INGIND35
45352 28 FIS01
45353 58 MED18
45354 35 CHIM02
45355 12 AGR03
45356 35 MED18
45357 23 MAT01
45358 18 CHIM02
45359 3 CHIM02
45360 88 MAT01
45361 5 INF01
45362 76 MAT01
45363 50 FIS01
45364 22 FIS01
45365 62 IINF05
45366 79 INF01
45367 39 IINF05
45368 35 BIO10
45369 44 IINF04
45370 58 BIO10
45371 51 IINF05
45372 66 IINF04
45373 96 FIS01
45374 70 IINF05
45375 73 MAT01
45376 83 IINF04
45377 38 INGIND35
45378 79 FIS01
45379 64 CHIM02
45380 65 CHIM02
45381 7 AGR03
45382 9 AGR03
45383 5 MED18
45384 60 BIO10
45385 13 CHIM02
45386 52 MAT01
45387 4 INF01
45388 40 BIO10
45389 98 IINF04
45390 53 MED18
45391 60 IINF04
45392 36 INF01
45393 42 AGR03
45394 37 MED18
45395 83 BIO10
45396 83 IINF04
45397 59 IINF05
45398 68 MAT01
45399 43 MED18
45400 19 IINF05
45401 12 MED18
45402 53 INF01
45403 74 FIS01
45404 62 INGIND35
45405 12 IINF04
45406 53 AGR03
45407 47 INF01
45408 11 INGIND35
45409 88 MED18
45410 75 INGIND35
45411 94 FIS01
45412 14 CHIM02
45413 45 AGR03
45414 32 MAT01
45415 35 INGIND35
45416 92 AGR03
45417 34 BIO10
45418 75 INGIND35
45419 19 CHIM02
45420 69 IINF04
45421 27 IINF05
45422 28 IINF04
45423 5 INGIND35
45424 75 INF01
45425 17 MED18
45426 34 FIS01
45427 83 AGR03
45428 13 AGR03
45429 87 IINF05
45430 28 INGIND35
45431 84 BIO10
45432 4 INGIND35
45433 63 AGR03
45434 87 MAT01
45435 42 INF01
45436 94 FIS01
45437 43 MAT01
45438 17 AGR03
45439 12 IINF05
45440 49 IINF05
45441 6 FIS01
45442 40 FIS01
45443 9 FIS01
45444 19 AGR03
45445 98 INF01
45446 52 INF01
45447 81 CHIM02
45448 99 IINF04
45449 70 FIS01
45450 25 IINF04
45451 59 MAT01
45452 71 IINF05
45453 90 INGIND35
45454 58 MED18
45455 61 MAT01
45456 58 INF01
45457 28 INF01
45458 26 AGR03
45459 26 IINF05
45460 40 INGIND35
45461 69 AGR03
45462 44 INGIND35
45463 52 IINF05
45464 96 IINF05
45465 31 IINF05
45466 32 INGIND35
45467 79 IINF05
45468 80 CHIM02
45469 82 FIS01
45470 48 INGIND35
45471 74 FIS01
45472 78 INF01
45473 39 CHIM02
45474 95 IINF04
45475 51 MED18
45476 99 CHIM02
45477 62 CHIM02
45478 50 MED18
45479 86 AGR03
45480 35 IINF04
45481 98 MED18
45482 2 INGIND35
45483 31 CHIM02
45484 94 INGIND35
45485 39 BIO10
45486 33 IINF05
45487 49 INF01
45488 78 INF01
45489 33 INF01
45490 7 CHIM02
45491 7 MAT01
45492 54 INGIND35
45493 20 FIS01
45494 24 BIO10
45495 27 IINF05
45496 4 FIS01
45497 38 AGR03
45498 45 INF01
45499 79 AGR03
45500 63 CHIM02
45501 82 IINF05
45502 31 INF01
45503 41 BIO10
45504 70 CHIM02
45505 37 IINF05
45506 35 INF01
45507 33 MAT01
45508 67 INF01
45509 11 IINF05
45510 16 INGIND35
45511 93 MED18
45512 71 AGR03
45513 57 IINF05
45514 55 BIO10
45515 97 MED18
45516 70 INF01
45517 77 INGIND35
45518 72 INF01
45519 76 AGR03
45520 74 MED18
45521 8 CHIM02
45522 1 FIS01
45523 25 MAT01
45524 74 BIO10
45525 55 MED18
45526 26 AGR03
45527 56 MED18
45528 74 AGR03
45529 91 INGIND35
45530 6 MAT01
45531 72 CHIM02
45532 52 INGIND35
45533 32 BIO10
45534 72 INGIND35
45535 8 INGIND35
45536 19 IINF04
45537 16 MAT01
45538 66 CHIM02
45539 39 BIO10
45540 17 CHIM02
45541 66 AGR03
45542 89 INF01
45543 5 INGIND35
45544 49 BIO10
45545 48 MED18
45546 71 BIO10
45547 15 INGIND35
45548 10 MAT01
45549 76 FIS01
45550 91 INGIND35
45551 80 AGR03
45552 15 INF01
45553 8 MAT01
45554 23 INF01
45555 75 FIS01
45556 90 AGR03
45557 83 IINF04
45558 76 FIS01
45559 53 CHIM02
45560 4 CHIM02
45561 56 AGR03
45562 35 MAT01
45563 77 INF01
45564 23 MED18
45565 65 IINF04
45566 88 MED18
45567 1 MED18
45568 34 MED18
45569 38 INGIND35
45570 14 INF01
45571 3 IINF05
45572 88 MAT01
45573 99 INGIND35
45574 67 IINF04
45575 100 INF01
45576 38 INF01
45577 48 INF01
45578 98 FIS01
45579 76 AGR03
45580 20 INGIND35
45581 45 MED18
45582 19 BIO10
45583 72 INGIND35
45584 20 CHIM02
45585 52 AGR03
45586 6 IINF04
45587 57 FIS01
45588 45 BIO10
45589 67 INF01
45590 42 BIO10
45591 86 CHIM02
45592 49 INF01
45593 13 FIS01
45594 45 MED18
45595 35 AGR03
45596 42 FIS01
45597 16 FIS01
45598 99 IINF05
45599 64 AGR03
45600 2 MAT01
45601 26 MED18
45602 90 INGIND35
45603 97 AGR03
45604 22 MAT01
45605 12 AGR03
45606 96 FIS01
45607 32 BIO10
45608 84 INGIND35
45609 97 INGIND35
45610 1 FIS01
45611 36 AGR03
45612 11 FIS01
45613 6 FIS01
45614 93 INGIND35
45615 47 IINF05
45616 68 IINF04
45617 27 IINF05
45618 12 IINF05
45619 61 MED18
45620 36 MAT01
45621 95 FIS01
45622 61 BIO10
45623 44 MED18
45624 28 IINF04
45625 86 IINF04
45626 27 INGIND35
45627 54 INGIND35
45628 93 FIS01
45629 57 MAT01
45630 47 MAT01
45631 49 INF01
45632 42 IINF05
45633 39 INGIND35
45634 68 BIO10
45635 38 FIS01
45636 56 CHIM02
45637 68 MED18
45638 83 MED18
45639 2 AGR03
45640 11 MED18
45641 10 INGIND35
45642 19 MAT01
45643 23 INF01
45644 66 AGR03
45645 37 BIO10
45646 8 MED18
45647 89 AGR03
45648 71 MAT01
45649 42 FIS01
45650 37 MAT01
45651 33 BIO10
45652 32 IINF04
45653 18 IINF04
45654 49 BIO10
45655 12 CHIM02
45656 64 MED18
45657 93 MAT01
45658 13 INGIND35
45659 9 INF01
45660 25 INGIND35
45661 86 MED18
45662 20 CHIM02
45663 94 FIS01
45664 52 IINF05
45665 7 AGR03
45666 46 CHIM02
45667 55 INF01
45668 26 CHIM02
45669 20 INGIND35
45670 42 INF01
45671 17 BIO10
45672 35 IINF04
45673 47 MAT01
45674 48 IINF05
45675 78 IINF05
45676 11 FIS01
45677 76 MED18
45678 54 FIS01
45679 31 BIO10
45680 20 MED18
45681 19 INF01
45682 71 FIS01
45683 7 INGIND35
45684 67 INGIND35
45685 4 FIS01
45686 44 INF01
45687 85 INGIND35
45688 48 CHIM02
45689 35 MED18
45690 99 IINF05
45691 41 INGIND35
45692 96 AGR03
45693 81 MED18
45694 8 INGIND35
45695 88 MAT01
45696 45 CHIM02
45697 33 INGIND35
45698 86 CHIM02
45699 28 INF01
45700 48 MED18
45701 62 CHIM02
45702 48 IINF04
45703 61 AGR03
45704 84 INGIND35
45705 79 MED18
45706 100 INF01
45707 98 MED18
45708 3 FIS01
45709 52 IINF04
45710 24 CHIM02
45711 97 IINF04
45712 92 IINF05
45713 99 IINF04
45714 78 FIS01
45715 10 MAT01
45716 69 FIS01
45717 62 FIS01
45718 30 CHIM02
45719 53 IINF05
45720 95 AGR03
45721 3 CHIM02
45722 68 MAT01
45723 78 BIO10
45724 5 IINF05
45725 96 MED18
45726 40 MED18
45727 78 INGIND35
45728 79 CHIM02
45729 20 MED18
45730 13 FIS01
45731 59 IINF05
45732 68 BIO10
45733 40 AGR03
45734 65 CHIM02
45735 66 CHIM02
45736 24 MED18
45737 56 FIS01
45738 82 FIS01
45739 41 CHIM02
45740 97 IINF05
45741 3 INF01
45742 97 MAT01
45743 57 BIO10
45744 55 INGIND35
45745 52 IINF04
45746 71 FIS01
45747 97 IINF05
45748 45 INGIND35
45749 42 MED18
45750 27 INF01
45751 12 MED18
45752 72 INGIND35
45753 44 FIS01
45754 47 FIS01
45755 20 IINF04
45756 99 IINF04
45757 6 INF01
45758 10 BIO10
45759 7 IINF04
45760 78 MED18
45761 48 MAT01
45762 26 MED18
45763 99 FIS01
45764 63 CHIM02
45765 87 MAT01
45766 8 AGR03
45767 65 AGR03
45768 91 MAT01
45769 25 AGR03
45770 71 MED18
45771 60 CHIM02
45772 85 CHIM02
45773 3 IINF05
45774 38 IINF04
45775 50 INGIND35
45776 94 CHIM02
45777 55 FIS01
45778 17 BIO10
45779 94 IINF04
45780 90 MED18
45781 42 INF01
45782 36 CHIM02
45783 89 AGR03
45784 58 FIS01
45785 21 MAT01
45786 7 BIO10
45787 65 INF01
45788 72 MED18
45789 81 BIO10
45790 80 MED18
45791 74 INF01
45792 52 INF01
45793 21 FIS01
45794 51 MED18
45795 22 MED18
45796 64 MED18
45797 89 BIO10
45798 28 IINF05
45799 15 MAT01
45800 50 MED18
45801 15 MED18
45802 92 BIO10
45803 69 IINF04
45804 25 CHIM02
45805 93 AGR03
45806 19 MAT01
45807 44 BIO10
45808 71 FIS01
45809 64 INF01
45810 89 AGR03
45811 74 INGIND35
45812 54 IINF05
45813 13 IINF04
45814 70 CHIM02
45815 87 IINF05
45816 98 INGIND35
45817 37 IINF05
45818 48 CHIM02
45819 60 INGIND35
45820 23 IINF05
45821 24 MAT01
45822 62 FIS01
45823 11 IINF05
45824 97 AGR03
45825 40 IINF04
45826 92 CHIM02
45827 100 INF01
45828 46 INGIND35
45829 78 FIS01
45830 36 INF01
45831 20 INF01
45832 56 MAT01
45833 22 MED18
45834 99 INF01
45835 7 MED18
45836 42 INF01
45837 100 CHIM02
45838 65 MAT01
45839 19 FIS01
45840 77 INGIND35
45841 72 INF01
45842 28 AGR03
45843 94 INF01
45844 41 BIO10
45845 54 INF01
45846 36 MED18
45847 34 MAT01
45848 60 INGIND35
45849 37 FIS01
45850 29 CHIM02
45851 68 MED18
45852 94 CHIM02
45853 18 MED18
45854 62 INGIND35
45855 3 INGIND35
45856 1 INGIND35
45857 70 INGIND35
45858 39 FIS01
45859 76 INGIND35
45860 41 INF01
45861 53 MAT01
45862 6 INGIND35
45863 91 BIO10
45864 31 AGR03
45865 51 AGR03
45866 96 INGIND35
45867 95 MAT01
45868 70 MED18
45869 56 BIO10
45870 18 BIO10
45871 61 CHIM02
45872 49 AGR03
45873 41 CHIM02
45874 81 IINF04
45875 100 MED18
45876 100 INGIND35
45877 91 INGIND35
45878 40 MED18
45879 68 IINF04
45880 9 IINF04
45881 96 IINF04
45882 73 INGIND35
45883 2 CHIM02
45884 58 IINF05
45885 19 AGR03
45886 9 BIO10
45887 48 INF01
45888 83 IINF05
45889 15 FIS01
45890 77 INGIND35
45891 83 BIO10
45892 50 CHIM02
45893 69 IINF04
45894 100 MAT01
45895 81 FIS01
45896 28 CHIM02
45897 25 AGR03
45898 1 FIS01
45899 38 MED18
45900 37 INGIND35
45901 52 CHIM02
45902 22 MAT01
45903 30 MAT01
45904 91 CHIM02
45905 57 INGIND35
45906 28 MED18
45907 55 BIO10
45908 40 CHIM02
45909 12 IINF05
45910 62 AGR03
45911 11 INGIND35
45912 69 IINF05
45913 75 FIS01
45914 66 MAT01
45915 25 CHIM02
45916 42 CHIM02
45917 77 CHIM02
45918 62 INGIND35
45919 39 FIS01
45920 8 AGR03
45921 34 BIO10
45922 32 INF01
45923 86 INF01
45924 36 AGR03
45925 14 INGIND35
45926 49 INF01
45927 7 BIO10
45928 83 INF01
45929 17 IINF05
45930 99 BIO10
45931 10 INGIND35
45932 12 IINF04
45933 5 IINF05
45934 22 INF01
45935 72 INGIND35
45936 40 IINF04
45937 79 FIS01
45938 16 FIS01
45939 6 FIS01
45940 37 INF01
45941 82 FIS01
45942 79 MED18
45943 10 IINF04
45944 6 MAT01
45945 11 CHIM02
45946 38 BIO10
45947 90 IINF05
45948 67 IINF04
45949 84 IINF04
45950 43 BIO10
45951 2 FIS01
45952 11 IINF04
45953 84 INGIND35
45954 80 AGR03
45955 18 IINF04
45956 15 IINF04
45957 91 AGR03
45958 48 IINF05
45959 60 INF01
45960 15 MAT01
45961 98 AGR03
45962 35 CHIM02
45963 13 INF01
45964 47 BIO10
45965 49 IINF04
45966 5 INF01
45967 45 IINF04
45968 46 INGIND35
45969 6 INF01
45970 42 MED18
45971 50 CHIM02
45972 3 INF01
45973 37 CHIM02
45974 91 INGIND35
45975 11 BIO10
45976 42 CHIM02
45977 50 INGIND35
45978 33 INF01
45979 10 MAT01
45980 40 AGR03
45981 56 IINF04
45982 41 CHIM02
45983 39 BIO10
45984 95 IINF05
45985 45 IINF04
45986 78 CHIM02
45987 66 IINF05
45988 69 BIO10
45989 92 FIS01
45990 83 FIS01
45991 47 INGIND35
45992 22 CHIM02
45993 85 IINF04
45994 35 INF01
45995 61 INGIND35
45996 58 MAT01
45997 33 MED18
45998 84 BIO10
45999 94 MED18
46000 96 INF01
46001 88 IINF05
46002 45 MAT01
46003 52 MAT01
46004 9 BIO10
46005 50 BIO10
46006 27 FIS01
46007 78 MED18
46008 51 FIS01
46009 94 INGIND35
46010 73 BIO10
46011 86 INF01
46012 56 CHIM02
46013 69 INGIND35
46014 17 FIS01
46015 60 BIO10
46016 90 MED18
46017 37 INGIND35
46018 23 INGIND35
46019 38 FIS01
46020 83 MED18
46021 45 INF01
46022 53 FIS01
46023 97 CHIM02
46024 45 IINF05
46025 2 CHIM02
46026 61 MED18
46027 3 BIO10
46028 71 MAT01
46029 72 MED18
46030 7 IINF05
46031 83 INGIND35
46032 56 IINF05
46033 75 MED18
46034 63 AGR03
46035 90 AGR03
46036 92 FIS01
46037 35 MED18
46038 29 MAT01
46039 74 AGR03
46040 99 CHIM02
46041 73 IINF04
46042 93 AGR03
46043 14 MED18
46044 39 IINF04
46045 91 MED18
46046 65 CHIM02
46047 4 MED18
46048 66 BIO10
46049 68 CHIM02
46050 78 IINF04
46051 81 IINF04
46052 51 MAT01
46053 27 AGR03
46054 78 IINF04
46055 55 INF01
46056 52 INF01
46057 11 IINF04
46058 33 IINF04
46059 15 MED18
46060 62 MAT01
46061 1 MAT01
46062 96 IINF04
46063 12 INF01
46064 12 IINF04
46065 61 CHIM02
46066 64 FIS01
46067 35 INGIND35
46068 53 MAT01
46069 93 FIS01
46070 84 BIO10
46071 29 INGIND35
46072 87 MAT01
46073 45 BIO10
46074 44 AGR03
46075 79 INF01
46076 62 MED18
46077 45 INF01
46078 80 BIO10
46079 80 MED18
46080 30 IINF05
46081 5 INF01
46082 81 IINF04
46083 95 INGIND35
46084 45 BIO10
46085 82 BIO10
46086 95 IINF04
46087 73 CHIM02
46088 25 CHIM02
46089 42 FIS01
46090 66 IINF04
46091 22 AGR03
46092 6 BIO10
46093 90 INF01
46094 55 AGR03
46095 54 INF01
46096 14 CHIM02
46097 33 INGIND35
46098 17 INGIND35
46099 5 IINF04
46100 13 INGIND35
46101 22 IINF04
46102 29 BIO10
46103 36 IINF05
46104 86 MAT01
46105 41 CHIM02
46106 100 IINF04
46107 79 AGR03
46108 51 INF01
46109 77 MAT01
46110 56 CHIM02
46111 5 IINF05
46112 29 INF01
46113 63 MED18
46114 51 MED18
46115 63 INF01
46116 28 MED18
46117 66 INF01
46118 48 AGR03
46119 32 BIO10
46120 66 IINF05
46121 41 IINF05
46122 42 BIO10
46123 31 MAT01
46124 51 BIO10
46125 70 FIS01
46126 92 MAT01
46127 15 BIO10
46128 62 IINF04
46129 48 INF01
46130 11 MED18
46131 20 IINF04
46132 11 BIO10
46133 6 IINF04
46134 18 FIS01
46135 55 INF01
46136 51 INGIND35
46137 25 INF01
46138 64 FIS01
46139 10 BIO10
46140 86 BIO10
46141 19 MED18
46142 18 IINF04
46143 69 IINF05
46144 41 AGR03
46145 31 MED18
46146 36 AGR03
46147 20 CHIM02
46148 1 INGIND35
46149 28 AGR03
46150 1 BIO10
46151 77 FIS01
46152 99 FIS01
46153 36 BIO10
46154 83 AGR03
46155 59 IINF04
46156 13 FIS01
46157 44 IINF04
46158 43 BIO10
46159 21 MAT01
46160 42 CHIM02
46161 79 MAT01
46162 57 MED18
46163 8 BIO10
46164 63 MAT01
46165 42 BIO10
46166 22 IINF04
46167 69 CHIM02
46168 92 MAT01
46169 84 IINF05
46170 76 AGR03
46171 87 FIS01
46172 3 INGIND35
46173 62 IINF04
46174 24 CHIM02
46175 18 BIO10
46176 39 CHIM02
46177 42 IINF04
46178 33 MAT01
46179 13 MED18
46180 5 FIS01
46181 77 INF01
46182 27 INGIND35
46183 91 MED18
46184 54 MED18
46185 10 BIO10
46186 99 IINF04
46187 28 IINF05
46188 19 INGIND35
46189 23 IINF05
46190 69 AGR03
46191 100 MED18
46192 52 AGR03
46193 29 AGR03
46194 57 INF01
46195 40 INGIND35
46196 20 MED18
46197 74 AGR03
46198 36 AGR03
46199 6 INGIND35
46200 66 AGR03
46201 93 BIO10
46202 30 INGIND35
46203 46 MED18
46204 41 MED18
46205 1 FIS01
46206 35 FIS01
46207 38 AGR03
46208 67 MED18
46209 8 FIS01
46210 75 CHIM02
46211 71 MED18
46212 5 AGR03
46213 38 INGIND35
46214 2 INF01
46215 85 BIO10
46216 99 MED18
46217 27 INF01
46218 57 FIS01
46219 16 BIO10
46220 39 MED18
46221 72 IINF04
46222 50 FIS01
46223 81 BIO10
46224 67 MED18
46225 5 FIS01
46226 59 IINF04
46227 32 MED18
46228 50 INGIND35
46229 53 IINF04
46230 51 MAT01
46231 84 INGIND35
46232 3 IINF04
46233 25 IINF05
46234 68 IINF04
46235 68 CHIM02
46236 51 CHIM02
46237 45 CHIM02
46238 41 IINF04
46239 93 BIO10
46240 51 BIO10
46241 4 INF01
46242 74 CHIM02
46243 12 MED18
46244 24 MED18
46245 15 BIO10
46246 68 IINF04
46247 94 AGR03
46248 88 MED18
46249 60 FIS01
46250 71 AGR03
46251 10 MED18
46252 75 INF01
46253 40 MAT01
46254 66 INF01
46255 90 IINF04
46256 32 BIO10
46257 42 FIS01
46258 20 BIO10
46259 47 MED18
46260 39 BIO10
46261 59 CHIM02
46262 8 MAT01
46263 36 FIS01
46264 67 MED18
46265 42 MAT01
46266 29 AGR03
46267 6 CHIM02
46268 89 INGIND35
46269 46 MED18
46270 7 IINF05
46271 58 INF01
46272 77 MED18
46273 60 FIS01
46274 6 AGR03
46275 98 IINF04
46276 22 FIS01
46277 41 IINF04
46278 80 BIO10
46279 4 MAT01
46280 14 INF01
46281 68 FIS01
46282 52 INGIND35
46283 97 IINF04
46284 34 MAT01
46285 23 MED18
46286 41 IINF05
46287 55 BIO10
46288 37 CHIM02
46289 76 INGIND35
46290 76 IINF05
46291 70 INF01
46292 32 AGR03
46293 10 MED18
46294 55 INF01
46295 26 AGR03
46296 47 CHIM02
46297 21 CHIM02
46298 72 MAT01
46299 20 INGIND35
46300 55 IINF05
46301 59 IINF04
46302 27 FIS01
46303 12 BIO10
46304 86 MED18
46305 68 MED18
46306 70 FIS01
46307 17 FIS01
46308 90 CHIM02
46309 27 MED18
46310 35 BIO10
46311 80 BIO10
46312 72 MED18
46313 72 CHIM02
46314 75 CHIM02
46315 18 INGIND35
46316 66 AGR03
46317 36 BIO10
46318 6 MED18
46319 58 IINF04
46320 71 AGR03
46321 85 MED18
46322 42 CHIM02
46323 40 CHIM02
46324 32 FIS01
46325 15 IINF04
46326 81 MED18
46327 50 FIS01
46328 22 INGIND35
46329 7 FIS01
46330 88 MAT01
46331 48 IINF04
46332 47 IINF04
46333 13 INF01
46334 2 CHIM02
46335 60 FIS01
46336 83 MAT01
46337 83 IINF05
46338 10 BIO10
46339 45 IINF05
46340 85 MAT01
46341 9 IINF04
46342 53 CHIM02
46343 13 IINF05
46344 78 AGR03
46345 66 FIS01
46346 4 INGIND35
46347 47 INGIND35
46348 43 BIO10
46349 33 MED18
46350 36 AGR03
46351 28 BIO10
46352 59 INGIND35
46353 14 IINF04
46354 12 INGIND35
46355 78 FIS01
46356 89 AGR03
46357 62 MED18
46358 97 AGR03
46359 15 IINF05
46360 23 FIS01
46361 88 IINF05
46362 79 MAT01
46363 74 BIO10
46364 79 MAT01
46365 84 IINF05
46366 79 INGIND35
46367 44 INGIND35
46368 68 MAT01
46369 69 MED18
46370 97 IINF05
46371 17 MAT01
46372 14 BIO10
46373 12 MAT01
46374 59 INF01
46375 46 IINF05
46376 44 BIO10
46377 74 MED18
46378 55 MAT01
46379 30 CHIM02
46380 10 MED18
46381 4 AGR03
46382 87 FIS01
46383 92 INF01
46384 72 INF01
46385 35 IINF04
46386 23 BIO10
46387 89 FIS01
46388 84 MED18
46389 44 MED18
46390 42 MED18
46391 3 MAT01
46392 99 INGIND35
46393 94 MAT01
46394 16 INGIND35
46395 90 INGIND35
46396 45 MAT01
46397 19 IINF04
46398 23 IINF05
46399 47 MAT01
46400 82 INF01
46401 10 FIS01
46402 8 INF01
46403 7 IINF04
46404 51 INGIND35
46405 28 IINF05
46406 24 IINF04
46407 79 INGIND35
46408 32 IINF04
46409 28 AGR03
46410 87 INF01
46411 77 BIO10
46412 58 IINF05
46413 5 BIO10
46414 25 INGIND35
46415 7 FIS01
46416 79 IINF04
46417 67 AGR03
46418 76 INGIND35
46419 45 IINF05
46420 45 BIO10
46421 12 AGR03
46422 71 MAT01
46423 51 AGR03
46424 9 IINF05
46425 45 INGIND35
46426 89 INF01
46427 26 MED18
46428 29 MAT01
46429 100 MAT01
46430 28 INF01
46431 44 BIO10
46432 69 FIS01
46433 44 FIS01
46434 58 IINF04
46435 96 MAT01
46436 88 INF01
46437 51 AGR03
46438 14 IINF05
46439 47 CHIM02
46440 29 AGR03
46441 88 MAT01
46442 26 MED18
46443 88 INGIND35
46444 100 BIO10
46445 16 AGR03
46446 14 IINF04
46447 87 INGIND35
46448 25 INF01
46449 25 FIS01
46450 30 FIS01
46451 100 MAT01
46452 67 IINF04
46453 97 INGIND35
46454 2 MAT01
46455 84 MED18
46456 93 INF01
46457 60 INGIND35
46458 44 FIS01
46459 55 MED18
46460 64 FIS01
46461 22 MAT01
46462 71 INF01
46463 44 BIO10
46464 24 CHIM02
46465 61 BIO10
46466 84 BIO10
46467 19 IINF05
46468 28 MAT01
46469 99 CHIM02
46470 87 MAT01
46471 49 IINF05
46472 66 BIO10
46473 55 FIS01
46474 78 INGIND35
46475 44 INGIND35
46476 90 IINF04
46477 46 CHIM02
46478 18 MAT01
46479 35 IINF05
46480 100 FIS01
46481 53 IINF05
46482 7 CHIM02
46483 75 IINF04
46484 60 BIO10
46485 24 IINF04
46486 71 IINF04
46487 60 BIO10
46488 66 IINF05
46489 74 IINF04
46490 7 BIO10
46491 80 IINF05
46492 45 CHIM02
46493 51 INF01
46494 53 INF01
46495 75 IINF05
46496 63 AGR03
46497 58 FIS01
46498 80 CHIM02
46499 15 INGIND35
46500 7 AGR03
46501 55 AGR03
46502 56 CHIM02
46503 89 MED18
46504 4 CHIM02
46505 57 MAT01
46506 80 MED18
46507 80 IINF05
46508 12 INF01
46509 89 MAT01
46510 34 INF01
46511 71 FIS01
46512 53 BIO10
46513 87 FIS01
46514 65 MED18
46515 31 MED18
46516 69 MAT01
46517 52 MAT01
46518 8 INGIND35
46519 88 IINF04
46520 94 BIO10
46521 69 MED18
46522 58 INF01
46523 13 INGIND35
46524 44 IINF05
46525 52 MAT01
46526 6 MAT01
46527 63 CHIM02
46528 60 CHIM02
46529 60 BIO10
46530 30 FIS01
46531 86 INF01
46532 80 FIS01
46533 63 IINF04
46534 59 BIO10
46535 91 CHIM02
46536 47 IINF05
46537 72 IINF04
46538 28 IINF05
46539 65 MED18
46540 24 INF01
46541 27 INGIND35
46542 14 IINF05
46543 18 CHIM02
46544 22 IINF04
46545 95 CHIM02
46546 26 AGR03
46547 53 INF01
46548 28 BIO10
46549 76 FIS01
46550 85 FIS01
46551 42 AGR03
46552 32 BIO10
46553 37 MED18
46554 86 INF01
46555 76 AGR03
46556 8 IINF04
46557 29 INF01
46558 97 IINF04
46559 84 AGR03
46560 83 FIS01
46561 95 IINF05
46562 78 MAT01
46563 52 INF01
46564 43 INF01
46565 43 CHIM02
46566 75 MED18
46567 93 MED18
46568 13 MAT01
46569 77 IINF05
46570 88 INGIND35
46571 44 INGIND35
46572 30 MED18
46573 75 IINF05
46574 48 BIO10
46575 66 AGR03
46576 80 FIS01
46577 47 INF01
46578 62 AGR03
46579 68 INGIND35
46580 80 IINF05
46581 65 INF01
46582 61 INGIND35
46583 15 FIS01
46584 54 INF01
46585 12 INF01
46586 57 IINF04
46587 76 FIS01
46588 35 MAT01
46589 41 AGR03
46590 30 CHIM02
46591 93 IINF05
46592 95 MED18
46593 96 INGIND35
46594 93 MED18
46595 52 FIS01
46596 86 BIO10
46597 71 MED18
46598 66 BIO10
46599 52 AGR03
46600 3 IINF05
46601 59 IINF05
46602 31 AGR03
46603 54 IINF05
46604 76 IINF04
46605 87 CHIM02
46606 93 INF01
46607 74 MED18
46608 68 MAT01
